계산기,URL,현재_클릭,이전_클릭,클릭_절대증감,클릭_증감률,현재_노출,이전_노출,노출_절대증감,노출_증감률,현재_CTR,이전_CTR,CTR_변화_pp,현재_평균순위,이전_평균순위,순위_단순차감,순위_해석,상태_분류,비고
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,0,0,0,0 유지,128,0,128,신규 발생,0.00%,0.00%,0.00,8.2,0,,신규 발생,노출 증가·CTR 저조,비교기간 데이터가 0인 신규 노출 중심; 2026-07-31 SEO 변경 관찰기간이 매우 짧음.
2026 4대보험,https://gyesanbox.kr/calculators/social-insurance/,0,0,0,0 유지,97,0,97,신규 발생,0.00%,0.00%,0.00,9.66,0,,신규 발생,노출 증가·CTR 저조,비교기간 데이터가 0인 신규 노출 중심; 2026-07-31 SEO 변경 관찰기간이 매우 짧음.
주휴수당,https://gyesanbox.kr/calculators/labor-pay/,0,0,0,0 유지,14,0,14,신규 발생,0.00%,0.00%,0.00,26.79,0,,신규 발생,데이터 부족,비교기간 데이터가 0인 신규 노출 중심; 2026-07-31 SEO 변경 관찰기간이 매우 짧음.
퇴직금,https://gyesanbox.kr/calculators/severance/,1,0,1,신규 발생,31,0,31,신규 발생,3.23%,0.00%,3.23,9.16,0,,신규 발생,성장 중,비교기간 데이터가 0인 신규 노출 중심; 2026-07-31 SEO 변경 관찰기간이 매우 짧음.
실업급여,https://gyesanbox.kr/calculators/unemployment/,0,0,0,0 유지,213,0,213,신규 발생,0.00%,0.00%,0.00,11.35,0,,신규 발생,노출 증가·CTR 저조,비교기간 데이터가 0인 신규 노출 중심; 2026-07-31 SEO 변경 관찰기간이 매우 짧음.
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,1,0,1,신규 발생,46,0,46,신규 발생,2.17%,0.00%,2.17,24.04,0,,신규 발생,기술 확인 필요,URL은 색인됨. GSC Sitemap 항목에 일시적인 처리 오류 표시.
대출 이자,https://gyesanbox.kr/calculators/loan/,0,0,0,0 유지,61,0,61,신규 발생,0.00%,0.00%,0.00,10.51,0,,신규 발생,노출 증가·CTR 저조,비교기간 데이터가 0인 신규 노출 중심; 2026-07-31 SEO 변경 관찰기간이 매우 짧음.
전세 vs 월세,https://gyesanbox.kr/calculators/rent-vs-jeonse/,0,0,0,0 유지,24,0,24,신규 발생,0.00%,0.00%,0.00,6,0,,신규 발생,노출 증가·CTR 저조,비교기간 데이터가 0인 신규 노출 중심; 2026-07-31 SEO 변경 관찰기간이 매우 짧음.
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,0,0,0,0 유지,118,4,114,2850.0%,0.00%,0.00%,0.00,8.42,50.75,-42.33,개선,노출 증가·CTR 저조,비교기간 노출 4→현재 118; 평균순위 50.75→8.42. 클릭은 0이므로 성공 확정 금지.
부가세,https://gyesanbox.kr/calculators/vat-profit/,0,0,0,0 유지,30,0,30,신규 발생,0.00%,0.00%,0.00,17.6,0,,신규 발생,노출 증가·CTR 저조,비교기간 데이터가 0인 신규 노출 중심; 2026-07-31 SEO 변경 관찰기간이 매우 짧음.
