계산기,URL,순위구간,검색어수,총노출,총클릭,대표검색어,SEO_개선검토가치
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,1~3위,0,0,0,,노출 확보 시 CTR 방어
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,4~10위,2,3,0,2027 연봉 실수령액 / 월급 공제액,매우 높음: CTR·검색의도 정합성 우선 검토
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,11~20위,5,36,0,기준소득월액 실수령액 차이 / 비과세액 계산 / 월급여 실수령액 계산기,높음: 빠른 개선 후보
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,21~50위,0,0,0,,중간: 콘텐츠 확장·의도 정합성 검토
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,51위 이하,0,0,0,,낮음: 관련성부터 확인
2026 4대보험,https://gyesanbox.kr/calculators/social-insurance/,1~3위,0,0,0,,노출 확보 시 CTR 방어
2026 4대보험,https://gyesanbox.kr/calculators/social-insurance/,4~10위,0,0,0,,매우 높음: CTR·검색의도 정합성 우선 검토
2026 4대보험,https://gyesanbox.kr/calculators/social-insurance/,11~20위,1,29,0,국민연금 납부액 계산기,높음: 빠른 개선 후보
2026 4대보험,https://gyesanbox.kr/calculators/social-insurance/,21~50위,1,1,0,4대보험 공제액,중간: 콘텐츠 확장·의도 정합성 검토
2026 4대보험,https://gyesanbox.kr/calculators/social-insurance/,51위 이하,3,3,0,사대보험 계산기 / 2026년 4대보험 계산기 / 고용 보험료 계산,낮음: 관련성부터 확인
주휴수당,https://gyesanbox.kr/calculators/labor-pay/,1~3위,0,0,0,,노출 확보 시 CTR 방어
주휴수당,https://gyesanbox.kr/calculators/labor-pay/,4~10위,0,0,0,,매우 높음: CTR·검색의도 정합성 우선 검토
주휴수당,https://gyesanbox.kr/calculators/labor-pay/,11~20위,1,1,0,주급 주휴수당,높음: 빠른 개선 후보
주휴수당,https://gyesanbox.kr/calculators/labor-pay/,21~50위,0,0,0,,중간: 콘텐츠 확장·의도 정합성 검토
주휴수당,https://gyesanbox.kr/calculators/labor-pay/,51위 이하,2,4,0,주휴 수당 계산 / 한달 주휴수당 계산기,낮음: 관련성부터 확인
퇴직금,https://gyesanbox.kr/calculators/severance/,1~3위,0,0,0,,노출 확보 시 CTR 방어
퇴직금,https://gyesanbox.kr/calculators/severance/,4~10위,0,0,0,,매우 높음: CTR·검색의도 정합성 우선 검토
퇴직금,https://gyesanbox.kr/calculators/severance/,11~20위,0,0,0,,높음: 빠른 개선 후보
퇴직금,https://gyesanbox.kr/calculators/severance/,21~50위,1,2,0,통상임금 퇴직금 계산기,중간: 콘텐츠 확장·의도 정합성 검토
퇴직금,https://gyesanbox.kr/calculators/severance/,51위 이하,0,0,0,,낮음: 관련성부터 확인
실업급여,https://gyesanbox.kr/calculators/unemployment/,1~3위,1,1,0,국가법령정보센터 고용보험법 시행령 구직급여 상한액 68100 2026,노출 확보 시 CTR 방어
