계산기,URL,검색어_원문,검색어_NFC,현재_클릭,이전_클릭,클릭_증감,현재_노출,이전_노출,노출_증감,현재_CTR,이전_CTR,CTR_변화_pp,현재_평균순위,이전_평균순위,순위_변화,현재_순위구간,노출상위20,클릭발생,0클릭_고노출,빠른개선후보,콘텐츠확장후보,CTR개선후보,신중검토,분류,변화_요약
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,기준소득월액 실수령액 차이,기준소득월액 실수령액 차이,0,0,0,28,0,28,0.00%,0.00%,0.00,10.68,0,신규 발생,11~20위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,비과세액 계산,비과세액 계산,0,0,0,3,0,3,0.00%,0.00%,0.00,10.67,0,신규 발생,11~20위,예,아니오,예,예,예,아니오,아니오,빠른 개선 가능,신규 발생
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,2027 연봉 실수령액,2027 연봉 실수령액,0,0,0,2,0,2,0.00%,0.00%,0.00,8.5,0,신규 발생,4~10위,예,아니오,예,아니오,아니오,아니오,예,신중 검토,신규 발생
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,월급여 실수령액 계산기,월급여 실수령액 계산기,0,0,0,2,0,2,0.00%,0.00%,0.00,10.5,0,신규 발생,11~20위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,상여금 실수령액 계산기,상여금 실수령액 계산기,0,0,0,2,0,2,0.00%,0.00%,0.00,11,0,신규 발생,11~20위,예,아니오,예,예,예,아니오,아니오,빠른 개선 가능,신규 발생
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,월급 공제액,월급 공제액,0,0,0,1,0,1,0.00%,0.00%,0.00,7,0,신규 발생,4~10위,예,아니오,예,예,예,아니오,아니오,빠른 개선 가능,신규 발생
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,연봉 비과세액,연봉 비과세액,0,0,0,1,0,1,0.00%,0.00%,0.00,12,0,신규 발생,11~20위,예,아니오,예,예,예,아니오,아니오,빠른 개선 가능,신규 발생
2026 4대보험,https://gyesanbox.kr/calculators/social-insurance/,국민연금 납부액 계산기,국민연금 납부액 계산기,0,0,0,29,0,29,0.00%,0.00%,0.00,10.62,0,신규 발생,11~20위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
2026 4대보험,https://gyesanbox.kr/calculators/social-insurance/,4대보험 공제액,4대보험 공제액,0,0,0,1,0,1,0.00%,0.00%,0.00,21,0,신규 발생,21~50위,예,아니오,예,아니오,예,아니오,아니오,콘텐츠 확장 검토,신규 발생
2026 4대보험,https://gyesanbox.kr/calculators/social-insurance/,사대보험 계산기,사대보험 계산기,0,0,0,1,0,1,0.00%,0.00%,0.00,52,0,신규 발생,51위 이하,예,아니오,예,아니오,아니오,아니오,아니오,관찰,신규 발생
2026 4대보험,https://gyesanbox.kr/calculators/social-insurance/,2026년 4대보험 계산기,2026년 4대보험 계산기,0,0,0,1,0,1,0.00%,0.00%,0.00,62,0,신규 발생,51위 이하,예,아니오,예,아니오,아니오,아니오,아니오,관찰,신규 발생
2026 4대보험,https://gyesanbox.kr/calculators/social-insurance/,고용 보험료 계산,고용 보험료 계산,0,0,0,1,0,1,0.00%,0.00%,0.00,65,0,신규 발생,51위 이하,예,아니오,예,아니오,아니오,아니오,아니오,관찰,신규 발생
주휴수당,https://gyesanbox.kr/calculators/labor-pay/,주휴 수당 계산,주휴 수당 계산,0,0,0,3,0,3,0.00%,0.00%,0.00,53,0,신규 발생,51위 이하,예,아니오,예,아니오,아니오,아니오,아니오,관찰,신규 발생
주휴수당,https://gyesanbox.kr/calculators/labor-pay/,주급 주휴수당,주급 주휴수당,0,0,0,1,0,1,0.00%,0.00%,0.00,17,0,신규 발생,11~20위,예,아니오,예,예,예,아니오,아니오,빠른 개선 가능,신규 발생
주휴수당,https://gyesanbox.kr/calculators/labor-pay/,한달 주휴수당 계산기,한달 주휴수당 계산기,0,0,0,1,0,1,0.00%,0.00%,0.00,54,0,신규 발생,51위 이하,예,아니오,예,아니오,예,아니오,아니오,콘텐츠 확장 검토,신규 발생
퇴직금,https://gyesanbox.kr/calculators/severance/,통상임금 퇴직금 계산기,통상임금 퇴직금 계산기,0,0,0,2,0,2,0.00%,0.00%,0.00,48.5,0,신규 발생,21~50위,예,아니오,예,아니오,아니오,아니오,아니오,관찰,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,고용보험법 시행령 제68조 구직급여일액 상한액 68100,고용보험법 시행령 제68조 구직급여일액 상한액 68100,0,0,0,7,0,7,0.00%,0.00%,0.00,9.29,0,신규 발생,4~10위,예,아니오,예,예,아니오,예,아니오,빠른 개선 가능,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,국가법령정보센터 고용보험법 시행령 제68조 2026 68100,국가법령정보센터 고용보험법 시행령 제68조 2026 68100,0,0,0,4,0,4,0.00%,0.00%,0.00,9.25,0,신규 발생,4~10위,예,아니오,예,예,아니오,예,아니오,빠른 개선 가능,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,국가법령정보센터 고용보험법 시행령 제68조 113500 2026,국가법령정보센터 고용보험법 시행령 제68조 113500 2026,0,0,0,3,0,3,0.00%,0.00%,0.00,11,0,신규 발생,11~20위,예,아니오,예,예,아니오,아니오,아니오,빠른 개선 가능,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,실업급여 기간 계산,실업급여 기간 계산,0,0,0,3,0,3,0.00%,0.00%,0.00,41.67,0,신규 발생,21~50위,예,아니오,예,아니오,예,아니오,아니오,콘텐츠 확장 검토,신규 발생
실업급여,https://gyesanbox.kr/calculators/unemployment/,실업 급여 기간 계산,실업 급여 기간 계산,0,0,0,3,0,3,0.00%,0.00%,0.00,43,0,신규 발생,21~50위,예,아니오,예,아니오,예,아니오,아니오,콘텐츠 확장 검토,신규 발생
