계산기,URL,Google_등록,사용자선언_canonical,Google선택_canonical,마지막_크롤링,크롤링_허용,페이지_가져오기,색인생성_허용,Sitemap,참조_페이지,HTTPS,탐색경로_구조화데이터,치명적_오류,비고
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,등록됨,https://gyesanbox.kr/calculators/salary/,검사된 URL(자기 자신),2026-08-02 11:59:57,예,성공,예,https://gyesanbox.kr/sitemap.xml,https://gyesanbox.kr/,정상,유효한 항목 1개,없음,URL 검사 요약에서 색인·canonical·HTTPS·탐색경로가 정상.
2026 4대보험,https://gyesanbox.kr/calculators/social-insurance/,등록됨,https://gyesanbox.kr/calculators/social-insurance/,검사된 URL(자기 자신),2026-07-19 18:11:17,예,성공,예,https://gyesanbox.kr/sitemap.xml,감지된 페이지 없음,정상,유효한 항목 1개,없음,URL 검사 요약에서 색인·canonical·HTTPS·탐색경로가 정상.
주휴수당,https://gyesanbox.kr/calculators/labor-pay/,등록됨,https://gyesanbox.kr/calculators/labor-pay/,검사된 URL(자기 자신),2026-07-12 17:37:20,예,성공,예,https://gyesanbox.kr/sitemap.xml,감지된 페이지 없음,정상,유효한 항목 1개,없음,URL 검사 요약에서 색인·canonical·HTTPS·탐색경로가 정상.
퇴직금,https://gyesanbox.kr/calculators/severance/,등록됨,https://gyesanbox.kr/calculators/severance/,검사된 URL(자기 자신),2026-07-19 02:40:12,예,성공,예,https://gyesanbox.kr/sitemap.xml,감지된 페이지 없음,정상,유효한 항목 1개,없음,URL 검사 요약에서 색인·canonical·HTTPS·탐색경로가 정상.
실업급여,https://gyesanbox.kr/calculators/unemployment/,등록됨,https://gyesanbox.kr/calculators/unemployment/,검사된 URL(자기 자신),2026-07-28 00:37:32,예,성공,예,https://gyesanbox.kr/sitemap.xml,감지된 페이지 없음,정상,유효한 항목 1개,없음,URL 검사 요약에서 색인·canonical·HTTPS·탐색경로가 정상.
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,등록됨,https://gyesanbox.kr/calculators/parental-leave/,검사된 URL(자기 자신),2026-07-29 01:40:03,예,성공,예,일시적인 처리 오류,감지된 페이지 없음,정상,유효한 항목 1개,없음,URL은 Google에 등록되어 있고 크롤링/가져오기/canonical은 정상. Sitemap 표시만 재확인 권장.
대출 이자,https://gyesanbox.kr/calculators/loan/,등록됨,https://gyesanbox.kr/calculators/loan/,검사된 URL(자기 자신),2026-07-31 03:38:52,예,성공,예,https://gyesanbox.kr/sitemap.xml,감지된 페이지 없음,정상,유효한 항목 1개,없음,URL 검사 요약에서 색인·canonical·HTTPS·탐색경로가 정상.
전세 vs 월세,https://gyesanbox.kr/calculators/rent-vs-jeonse/,등록됨,https://gyesanbox.kr/calculators/rent-vs-jeonse/,검사된 URL(자기 자신),2026-07-26 13:00:38,예,성공,예,https://gyesanbox.kr/sitemap.xml,감지된 페이지 없음,정상,유효한 항목 1개,없음,URL 검사 요약에서 색인·canonical·HTTPS·탐색경로가 정상.
판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,등록됨,https://gyesanbox.kr/calculators/seller-margin/,검사된 URL(자기 자신),2026-07-25 11:45:48,예,성공,예,일시적인 처리 오류,감지된 페이지 없음,정상,유효한 항목 1개,없음,URL은 Google에 등록되어 있고 크롤링/가져오기/canonical은 정상. Sitemap 표시만 재확인 권장.
부가세,https://gyesanbox.kr/calculators/vat-profit/,등록됨,https://gyesanbox.kr/calculators/vat-profit/,검사된 URL(자기 자신),2026-07-12 17:37:20,예,성공,예,https://gyesanbox.kr/sitemap.xml,감지된 페이지 없음,정상,유효한 항목 1개,없음,URL 검사 요약에서 색인·canonical·HTTPS·탐색경로가 정상.
