calculator_name,clicks,impressions,ctr,average_position,public_query_count,queries_rank_4_10,queries_rank_11_20,zero_click_queries_impressions_10_plus,direct_intent_query_count,data_sufficiency,seo_review_priority,rationale
연봉 실수령액,0,130,0%,8.13,7,2,5,1,7,충분,1순위,130노출·CTR 0%; 직접 관련 공개 검색어 7개가 모두 4~20위에 집중
2026 4대보험,0,97,0%,9.66,5,0,1,1,5,충분,예비,97노출·CTR 0%; 국민연금 납부액 계산기 29노출·10.62위
주휴수당,0,14,0%,26.79,3,0,1,0,3,부족,낮음,14노출·공개 검색어 3개로 표본 부족
퇴직금,1,31,3.23%,9.16,1,0,0,0,1,부족,관찰,1클릭이 있으나 공개 검색어 1개뿐이며 클릭 검색어는 비공개
실업급여,0,213,0%,11.35,25,10,6,0,25,충분,신중 검토,213노출로 최대이나 법령형 검색어 비중이 높아 의도 분리 필요
육아휴직급여,1,46,2.17%,24.04,7,0,1,0,7,제한적,관찰,"1클릭·46노출이나 평균 24.04위, 기존 Sitemap 일시 오류 재확인 필요"
대출 이자,0,61,0%,10.51,10,4,3,1,10,충분,예비,61노출·CTR 0%; 직접 관련 4~20위 검색어 7개
전세 vs 월세,0,24,0%,6,1,1,0,0,1,부족,낮음,24노출·공개 검색어 1개로 표본 부족
판매자 마진,0,123,0%,9.85,8,5,0,2,6,충분,관찰,123노출·CTR 0%·4~10위 5개지만 상위 노출에 불명확·광범위 검색어 포함
부가세,0,30,0%,17.6,4,0,0,0,4,부족,낮음,30노출·평균 17.60위이나 공개 검색어 4개 모두 표본이 작고 42위 이하
