order,calculator_name,url,period_start,period_end,clicks,impressions,ctr,average_position,first_impression_date,days_with_clicks,days_with_impressions,notes
1,연봉 실수령액,https://gyesanbox.kr/calculators/salary/,2026-06-24,2026-08-04,0,130,0%,8.13,2026-07-05,0,26,"GSC 기본 3개월; 실제 데이터 행은 2026-06-24부터 제공됨. 화면 카드는 소수 첫째 자리, 원본은 원정밀도."
2,2026 4대보험,https://gyesanbox.kr/calculators/social-insurance/,2026-06-24,2026-08-04,0,97,0%,9.66,2026-07-12,0,19,"GSC 기본 3개월; 실제 데이터 행은 2026-06-24부터 제공됨. 화면 카드는 소수 첫째 자리, 원본은 원정밀도."
3,주휴수당,https://gyesanbox.kr/calculators/labor-pay/,2026-06-24,2026-08-04,0,14,0%,26.79,2026-07-12,0,9,"GSC 기본 3개월; 실제 데이터 행은 2026-06-24부터 제공됨. 화면 카드는 소수 첫째 자리, 원본은 원정밀도."
4,퇴직금,https://gyesanbox.kr/calculators/severance/,2026-06-24,2026-08-04,1,31,3.23%,9.16,2026-07-05,1,11,"GSC 기본 3개월; 실제 데이터 행은 2026-06-24부터 제공됨. 화면 카드는 소수 첫째 자리, 원본은 원정밀도."
5,실업급여,https://gyesanbox.kr/calculators/unemployment/,2026-06-24,2026-08-04,0,213,0%,11.35,2026-07-04,0,27,"GSC 기본 3개월; 실제 데이터 행은 2026-06-24부터 제공됨. 화면 카드는 소수 첫째 자리, 원본은 원정밀도."
6,육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,2026-06-24,2026-08-04,1,46,2.17%,24.04,2026-07-12,1,8,"GSC 기본 3개월; 실제 데이터 행은 2026-06-24부터 제공됨. 화면 카드는 소수 첫째 자리, 원본은 원정밀도."
7,대출 이자,https://gyesanbox.kr/calculators/loan/,2026-06-24,2026-08-04,0,61,0%,10.51,2026-07-16,0,14,"GSC 기본 3개월; 실제 데이터 행은 2026-06-24부터 제공됨. 화면 카드는 소수 첫째 자리, 원본은 원정밀도."
8,전세 vs 월세,https://gyesanbox.kr/calculators/rent-vs-jeonse/,2026-06-24,2026-08-04,0,24,0%,6,2026-07-12,0,11,"GSC 기본 3개월; 실제 데이터 행은 2026-06-24부터 제공됨. 화면 카드는 소수 첫째 자리, 원본은 원정밀도."
9,판매자 마진,https://gyesanbox.kr/calculators/seller-margin/,2026-06-24,2026-08-04,0,123,0%,9.85,2026-06-30,0,26,"GSC 기본 3개월; 실제 데이터 행은 2026-06-24부터 제공됨. 화면 카드는 소수 첫째 자리, 원본은 원정밀도."
10,부가세,https://gyesanbox.kr/calculators/vat-profit/,2026-06-24,2026-08-04,0,30,0%,17.6,2026-07-12,0,13,"GSC 기본 3개월; 실제 데이터 행은 2026-06-24부터 제공됨. 화면 카드는 소수 첫째 자리, 원본은 원정밀도."
