calculator_name,calculator_url,query,normalized_query,clicks,impressions,ctr,average_position,period_start,period_end,position_group,query_character,seo_review_status,direct_relevance
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,기준소득월액 실수령액 차이,기준소득월액 실수령액 차이,0,28,0%,10.68,2026-06-24,2026-08-04,11~20위,제도·기준 확인,순위 개선 후보,예
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,비과세액 계산,비과세액 계산,0,3,0%,10.67,2026-06-24,2026-08-04,11~20위,계산 방법 검색,순위 개선 후보,예
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,2027 연봉 실수령액,2027 연봉 실수령액,0,2,0%,8.5,2026-06-24,2026-08-04,4~10위,제도·기준 확인,데이터 부족,예
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,월급여 실수령액 계산기,월급여 실수령액 계산기,0,2,0%,10.5,2026-06-24,2026-08-04,11~20위,계산기 직접 검색,데이터 부족,예
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,상여금 실수령액 계산기,상여금 실수령액 계산기,0,2,0%,11,2026-06-24,2026-08-04,11~20위,계산기 직접 검색,데이터 부족,예
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,월급 공제액,월급 공제액,0,1,0%,7,2026-06-24,2026-08-04,4~10위,제도·기준 확인,데이터 부족,예
연봉 실수령액,https://gyesanbox.kr/calculators/salary/,연봉 비과세액,연봉 비과세액,0,1,0%,12,2026-06-24,2026-08-04,11~20위,제도·기준 확인,데이터 부족,예
2026 4대보험,https://gyesanbox.kr/calculators/social-insurance/,국민연금 납부액 계산기,국민연금 납부액 계산기,0,29,0%,10.62,2026-06-24,2026-08-04,11~20위,계산기 직접 검색,순위 개선 후보,예
2026 4대보험,https://gyesanbox.kr/calculators/social-insurance/,4대보험 공제액,4대보험 공제액,0,1,0%,21,2026-06-24,2026-08-04,21~50위,제도·기준 확인,데이터 부족,예
2026 4대보험,https://gyesanbox.kr/calculators/social-insurance/,사대보험 계산기,사대보험 계산기,0,1,0%,52,2026-06-24,2026-08-04,51위 이하,계산기 직접 검색,데이터 부족,예
