query,clicks,impressions,ctr,average_position,search_intent,page_relevance,current_page_response,judgement
원리금 계산기,0,15,0%,9.4,원리금 직접 계산,높음,충분히 대응,관찰
원리금균등분할상환 계산기,0,6,0%,11,원리금균등상환 계산,높음,충분히 대응,관찰
원금균등상환 계산기,0,1,0%,10,원금균등상환 계산,높음,충분히 대응,관찰
원리금 균등 분할 상환 계산기,0,1,0%,10,원리금균등상환 계산,높음,충분히 대응,관찰
체증식 분할상환 계산기,0,1,0%,10,계산기 기능 범위 밖,낮음,기능 범위 밖,제외
원리균등상환 계산기,0,1,0%,11,원리금균등상환 계산,높음,충분히 대응,관찰
원리금균등상환 계산기,0,1,0%,11,원리금균등상환 계산,높음,충분히 대응,관찰
대출 원리금 계산,0,1,0%,21,원리금 직접 계산,높음,충분히 대응,관찰
대출 월납입금 계산,0,1,0%,30,월 상환액 계산,높음,충분히 대응,관찰
만기일시상환 계산기,0,1,0%,30,만기일시상환 계산,높음,충분히 대응,관찰
