calculator_name,recent_seo_work,gsc_score,content_gap_score,total_score,group,rationale
연봉 실수령액,yes,,,,D,최근 30일 실질 SEO 보강으로 A/B 점수 부여 제외
2026 4대보험,yes,,,,D,최근 30일 실질 SEO 보강으로 A/B 점수 부여 제외
주휴수당,yes,,,,D,최근 30일 실질 SEO 보강으로 A/B 점수 부여 제외
퇴직금,yes,,,,D,최근 30일 실질 SEO 보강으로 A/B 점수 부여 제외
실업급여,yes,,,,D,최근 30일 실질 SEO 보강으로 A/B 점수 부여 제외
육아휴직급여,yes,,,,D,최근 30일 실질 SEO 보강으로 A/B 점수 부여 제외
대출 이자,yes,,,,D,최근 30일 실질 SEO 보강으로 A/B 점수 부여 제외
전세 vs 월세,yes,,,,D,최근 30일 실질 SEO 보강으로 A/B 점수 부여 제외
판매자 마진,yes,,,,D,최근 30일 실질 SEO 보강으로 A/B 점수 부여 제외
부가세,yes,,,,D,최근 30일 실질 SEO 보강으로 A/B 점수 부여 제외
